"dog","target","trained","behavior","counts","success"
"1","2E1H",TRUE,"a",1,TRUE
"2","2E1H",TRUE,"a",0,FALSE
"9","2E1H",TRUE,"a",0,FALSE
"11","2E1H",TRUE,"a",0,FALSE
"12","2E1H",TRUE,"a",0,FALSE
"14","2E1H",TRUE,"a",1,TRUE
"15","2E1H",TRUE,"a",0,FALSE
"17","2E1H",TRUE,"a",2,TRUE
"19","2E1H",TRUE,"a",0,FALSE
"20","2E1H",TRUE,"a",0,FALSE
"21","2E1H",TRUE,"a",0,FALSE
"22","2E1H",TRUE,"a",3,TRUE
"23","2E1H",TRUE,"a",3,TRUE
"24","2E1H",TRUE,"a",0,FALSE
"1","Ammonia",TRUE,"a",1,TRUE
"2","Ammonia",TRUE,"a",2,TRUE
"9","Ammonia",TRUE,"a",1,TRUE
"11","Ammonia",TRUE,"a",2,TRUE
"12","Ammonia",TRUE,"a",0,FALSE
"14","Ammonia",TRUE,"a",1,TRUE
"15","Ammonia",TRUE,"a",3,TRUE
"17","Ammonia",TRUE,"a",1,TRUE
"19","Ammonia",TRUE,"a",2,TRUE
"20","Ammonia",TRUE,"a",1,TRUE
"21","Ammonia",TRUE,"a",0,FALSE
"22","Ammonia",TRUE,"a",1,TRUE
"23","Ammonia",TRUE,"a",2,TRUE
"24","Ammonia",TRUE,"a",0,FALSE
